Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Advanced Content Marketing (2020),"Taking content marketing to the next level requires approaching your strategy with a robust framework. In this course, you can learn how to scale up your content marketing strategy with message architectures, a storytelling model, and well-developed thought leadership. Content marketing expert, and former Mailchimp VP, Colleen Jones explores all this and more. Viewers can learn how to manage a team, repackage content, and develop a supply chain. From growing your audience, to personalizing content experiences, to scaling operations, this advanced course covers content marketing at its deepest level.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2021-11-28 21:04 UTC,N/A,false,N/A,
"Blender: Tips, Tricks and Techniques","Blender boasts a variety of essential features and add-ons for 3D creation. In this weekly series, learn how to better leverage these tools—and work with some features that you may not have heard of yet. Join David Andrade as he covers a variety of topics, including useful Blender simulations, updates to Blender such as the Principled BSDF shader, and animation techniques. Tune in every Wednesday for a new Blender trick to enhance your media production workflow.",Course,2022-10-16 11:17 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling Gears,"Do you need to design and build gears for work, study, or a hobby? In this course, instructor Ryan Krawchuk covers the basics of mechanical gears, gives a hands-on lesson on modeling a spur gear using SOLIDWORKS, and then describes how to create a simple assembly. Ryan begins with a description of spur gears, helical gears, and others gears, as well as their respective applications. He covers key gear design attributes and nomenclature. Ryan steps you through spur gear equations, for both metric and English measurement systems, then goes through each step in modeling a spur gear. Once your gear model is complete, he shows you how to design the mounting plate that gears sit on, how to insert gears and mounting plates into your assembly, and how to use concentric and coincident gear mates. He discusses how to use a series of gear mates to allow gears to rotate dynamically to one another, then concludes by showing you how to animate your assembly with a SOLIDWORKS motion study.",Course,2021-07-04 06:53 UTC,N/A,false,N/A,
Design Thinking: Understanding the Process,"Curious about design thinking? It's the design methodology on everyone's mind. While it's not magic, design thinking can help you save time and find more creative solutions to your customers' needs. Having a good understanding of the process will help you explain the benefits to management and clients and implement design thinking at your organization. In this course, Chris Nodder explains where design thinking fits into product development and what it can help you achieve. He describes each step in the process, from identifying the problem you want to solve and brainstorming solutions, to prototyping, development, and release. Learn about the pros and cons of this approach and how to overcome challenges such as organization inertia and silos. Done right, design thinking can start your organization moving toward broader user-centered design techniques such as information architecture, content testing, usability testing, and marketing research.",Course,2021-03-27 19:42 UTC,N/A,false,N/A,
Learning Photoshop Compositing,"Photo compositing is a great way to expand your creativity. With a composite, you can combine two or more images to tell a more powerful story, or portray scenes that could never be accomplished with a single shot. In this course, Nigel French shares the fundamental creative and technical concepts behind photo compositing. In addition to core features necessary to combine multiple images—like masking and blend modes—Nigel also explores the AI-driven selection features in the latest versions of Photoshop. If you want to take your creativity to the next level, join Nigel in this course to learn how photo compositing can help you do just that.",Course,2023-07-09 18:00 UTC,N/A,false,N/A,
After Effects Weekly,"During the last few years, After Effects has grown from a simple software program into an ever-evolving motion graphics ecosystem. New features are being added each quarter and it's getting hard to keep up. This weekly series demonstrates tips, tricks, and techniques to help you to stay on top of the changes and reveals undocumented effects and shortcuts that will blow you away. Learn how to reset tools, control animations, create effects, control layers, fix issues, and integrate with Photoshop, Illustrator, and Cinema 4D. Tune in every Friday for a new tip.",Course,2022-10-09 07:44 UTC,N/A,false,N/A,
Artificial Intelligence Foundations: Neural Networks,"<p>An artificial neural network uses the human brain as inspiration for creating a complex machine learning system. They can classify millions of sounds, videos, and images, answer our questions, understand our behaviors, and even drive our cars. Neural networks are also the foundation of generative AI.</p>
This course introduces the fundamental techniques and principles of neural networks, common models, and their applications. Instructor Gwendolyn Stripling takes you through the different neural network architectures, their components, appropriate use cases, and best practices for improving neural network model performance.  Plus, gain hands-on experience building and training a neural network using the Keras Sequential API, an open-source library that demystifies the design and training of neural networks. If you’re looking to achieve a solid understanding of how to build, train, improve and use neural networks, join Gwendolyn in this course.",Course,2024-07-19 20:46 UTC,N/A,false,N/A,
Lighting Techniques for Video Interviews,"Take your video interviews to the next level using proven, effective, and affordable lighting techniques. Kevin Bradley is an award-winning director of photography with 17 years of industry experience in documentaries, corporate shorts, and all the other facets of the media production industry. He knows lighting is critical to mood, and the choices you make during production affect the outcome of every project. In this course, he shows how to create simple and beautiful lighting setups for any location using just three lights and a range of professional and DIY modifiers. He shows how to shape and soften light from LED panels, using simple materials you can find at your local hardware store. The course gives you tips and tricks that work, improving your videos and stepping up your game for new and old clients alike.",Course,2022-01-23 13:26 UTC,N/A,false,N/A,
GPT-4 Turbo: OpenAI's GPT Model and What You Need to Know,"<p>The next generation of GPT is here, and it’s time to get up to speed. The latest version, GPT-4 Turbo, takes all the core functionalities of GPT-4 and reworks them for more reliable, consistent results and higher performance delivered at speed. Join AI expert Jonathan Fernandes to get a sneak peek at what’s new with the latest release, in this approachable, easy-to-follow course designed for both technical and nontechnical learners.</p><p>Explore the wide variety of tasks that GPT-4 Turbo can perform with accuracy and ease, as you develop your understanding of how large language models function in interactive natural language processing. Along the way, gather insights from Jonathan on some of the most talked-about updates such as the Assistants API, Code Interpreter, the retrieval tool, function calling, GPTs, and more. Upon completing this course, you’ll have the skills you need to know to get started with GPT-4 Turbo and select the model that’s best for you.</p>",Course,2024-02-21 10:08 UTC,N/A,false,N/A,
Social Media for Enterprise Brands,"Elevate your enterprise brand with a cutting-edge social media strategy. In this course, Josh Hayes, a Social Media Marketing Expert, guides you through the process of planning and implementing a comprehensive social media strategy. Learn to develop a corporate social media strategy that your brand can leverage to create viral content that engages your audience. After this course, you will be ready to make your enterprise brand stand out.",Course,2025-01-18 17:20 UTC,N/A,false,N/A,
Creativity at Work: A Short Course from Seth Godin,"You <i>are</i> a creative person. Despite what your inner critic may have told you, you absolutely can solve complex business problems without a roadmap. The potential is there; whether or not you tap into it is up to you. In this concise course, Seth Godin—the author of 20 best-selling books, including <i>The Dip</i>, <i>Linchpin</i>, <i>Purple Cow</i>, and <i>The Practice</i>—lays out how to help your team let go of the fears that hinder your creative progress and start creating work that matters. Learn how to combat preconceived notions about creativity, including the idea that creativity is a gift bestowed upon a select few. (Spoiler alert: it's not.) Discover how to tap into your team’s creativity by embracing the possibility of failure, cultivating practical empathy, and exploring the root causes of writer's block and impostor syndrome. Plus, get tips for making creative problem-solving a habit that sticks.<br><br>Note: The thumbnail for this course was provided by Abby Greenawalt: <a href=""https://www.abbygreenawalt.com/"" target=""_blank"">abbygreenawalt.com</a>",Course,2021-12-19 09:10 UTC,2021-12-19 09:08 UTC,true,N/A,
Project Management with Microsoft Copilot,"Unlock the potential of Microsoft Copilot to streamline your project management tasks and boost efficiency. Taught by certified Project Management Professional and Microsoft MVP Cindy M. Lewis, this course is designed to equip project managers with skills to leverage Copilot seamlessly in daily workflows. Cindy provides practical, actionable tips for everything from generating clear project scope documents and effective communication plans to streamlining stakeholder reporting. Learn how to develop detailed project timelines, manage risks, and create compelling status reports. Harness the power of Copilot to stay on top of project discussions, identify data trends, and even get ideas to keep your team motivated and engaged.",Course,2025-07-26 06:23 UTC,N/A,false,N/A,
Generative AI for Sales and Services Professionals,"<p>Get a comprehensive examination of Generative AI and its specific applications within the Sales and Services sectors with expert Sam Mallikarjunan. In this course, you will gain an understanding of the foundational principles of Generative AI, its algorithms, and its potential in automating tasks, generating data-driven insights, and creating dynamic content. Go over detailed case studies that show you the transformative impact of Generative AI on customer interactions, sales methodologies, and service optimization.Plus, examine the ethical considerations and practical challenges of implementing Generative AI solutions in real-world scenarios.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/generative-ai-for-customer-service-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-07-12 04:43 UTC,N/A,false,N/A,
Managing Your Career as an Introvert,"The world, in general, is optimized for extroverts. So how can introverts get noticed at work? When you're starting your career or switching jobs or companies, you have to connect with others and build relationships. This is easier for extroverts than it is for introverts, who need alone time to recalibrate and replenish. For introverts, there are ways to establish yourself effectively at your new job or company so others understand your true skills and abilities—without having to go out on an extroverted limb. Author, coach, and professor Dorie Clark explains how to understand your strengths, connect to opportunities, and succeed on your terms.",Course,2021-08-11 13:13 UTC,N/A,true,N/A,
Complete Guide to Supporting and Troubleshooting Windows 11 for Admins by Microsoft Press,"<p>Upskill as an IT admin professional in this course designed by Microsoft Press. Instructor Andrew Warren demonstrates the foundational skills and knowledge required to successfully support and troubleshoot common issues faced by users in Windows 11. Learn how to develop a troubleshooting methodology, implement remote management processes, and troubleshoot problems with startup, system recovery, devices and drivers, network connectivity, Group Policy, security settings, user state, resource access, and apps. Along the way, you’ll gather important tips and insights on best practices for monitoring and maintaining Windows clients. Ideal for enterprise desktop support technicians (EDSTs), this course is also a great fit for anyone looking to upskill their client operating system knowledge and learn more about cloud device management.</p><p>Note: This course was created by Microsoft Press. We are pleased to host this training in our library.</p>",Course,2024-12-04 13:43 UTC,N/A,false,N/A,
Online Video Content Strategy,"To create and manage a regular stream of video content, it takes planning and hard work. Video is a big investment, and Facebook and YouTube are crowded with competitors. You need to do it right. In this course, marketing and media strategist Roberto Blake provides a formula for creating a winning online video content strategy: from planning, production, and post, all the way to delivery and search optimization. Get an overview of the online video landscape, learn how to nail down exactly who you're making content for, discover best practices for production and post, and find out what kinds of content works best on what platforms. High-quality content and attention to detail are the keys to building a large audience-learn the techniques the professionals use to do online video right.",Course,2020-10-14 09:31 UTC,N/A,false,N/A,
Rhino: Modeling for 3D Printing,"Rhino is a powerful digital modeling tool for architects, engineers, and product designers. The surface modeling freedom Rhino allows can create complex designs that are not always the best for physical fabrication. To prepare a model for 3D printing, you need to create closed clean geometry. In this course, instructor Olivia Morgan covers good modeling techniques from start to finish, for 3D printing projects and other physical fabrication methods. She also offers tips you can use if anything goes wrong during the modeling process. These skills include boolean troubleshooting, repairing holes, and fixing “bad objects.” Finally, Olivia covers how to properly export your model for different 3D printers, using real world examples.",Course,2022-03-06 19:13 UTC,N/A,false,N/A,
The Media-Savvy Professional: Crafting and Delivering a Memorable Message,"Join CEO of Clarity Media Group, journalist, and author Bill McGowan in this course as he shows you how to master the art of excelling in media interviews, whether you’re live on TV, in print, or on a podcast. Learn how to meticulously prepare without feeling overwhelmed, shifting your perspective from seeing interviews as a risk to viewing them as opportunities. Discover strategies for navigating negative questions to ensure your message remains positive. Uncover the secret to crafting and delivering memorable sound bites that stick with your audience long after the conversation ends. From controlling the flow of the interview to staying on message and fine-tuning your skills along the way, this course prepares you to transform any interview into a powerful opportunity to convey your message more effectively with ease.",Course,2024-10-07 12:20 UTC,N/A,false,N/A,
Nano Tips to Speak Up in Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and peak performance educator for Fortune 500s Shadé Zahrai teaches you quick tips for speaking up in meetings and making your voice heard. Learn how to avoid mistakes that harm your credibility and influence, speak up when you can’t find your turn, contribute value with strategic questions, claim back credit for overlooked suggestions, and more.",Course,2025-09-28 01:48 UTC,N/A,true,N/A,
Revit: Conceptual Modeling Environment,"Learning the basics of model building in Revit is mostly quick and easy. The essentials of core elements such as walls, floor, and roofs are accessible and fairly intuitive. For more unique and specialized design challenges, discovering appropriate tools and techniques can be more challenging. Many advanced modeling techniques are available, and some are more obvious and intuitive than others. In this course, Paul F. Aubin dives deep into the tools that the Revit conceptual modeling environment has to offer. Whether you want to do a simple building massing study or pro forma analysis, or delve deep into complex shapes and forms like lofted forms, free-form geometry, patterning and repeat tools, the massing environment offers these and many more. Paul mixes standard techniques and outside-the-box thinking as he explores many ways to take your Revit modeling skills to the next level.",Course,2022-03-02 13:02 UTC,N/A,false,N/A,
"Producing Spatial Audio in Dolby Atmos, Binaural, and Surround","Dolby Atmos opens up whole new dimensions of creativity for your sound mixing projects, whether you’re working with film and television audio tracks, mixing music, or performing live. In this course, producer and sound designer Nate Mars teaches you the basics of working with Dolby Atmos. He covers the basics of spatial audio and the key formats used to deliver it; how to mix spatial audio using a binaural monitor setup; how to create a special audio/3D mix; how to convert existing mix sessions from stereo to Atmos and Logic; and more. Nate also shares tips on how to use Atmos for live performances.",Course,2024-08-03 12:50 UTC,N/A,false,N/A,
Video Lighting and Grip Basics,"Filmmakers often need to be able to design and set up lighting for small shoots themselves. While natural light might seem sufficient—and tantalizingly easy—it's rarely coming from the right direction. With some simple video lighting basics, you can dramatically improve the look of your projects. This course aims to help anyone shooting video identify the right equipment and the right techniques for lighting productions of all kinds.<br><br>

Mark W. Gray demonstrates the lights, stands, and cables that are essential for video lighting. He'll talk about a basic ""hot"" lighting package like the ARRI Softbank Kit, florescent and LED lighting options, how to properly handle a c-stand, what the heck a ""stinger"" is, how to shape light with flags, and other important basic techniques for controlling light on your next video project.<br><br>

NOTE: These techniques are brand-agnostic. If you don't have the lights Mark recommends, you can still get great results!",Course,2020-01-03 18:37 UTC,N/A,false,N/A,
Transitioning from Manager to Leader,"Leadership is a skill that can be taught. In this course, executive coach Sara Canaday shares proven strategies to help you shift your mindset from manager to leader. To begin, you can learn how to enhance your personal growth by practicing self-awareness and emotional intelligence, developing an executive presence, and becoming a thought leader. Next learn how to expand your perspective from local to global, innovate by viewing challenges with a fresh lens, and improve your decision-making skills. Lastly, learn how to cultivate and nurture a stellar team: attract top talent, inspire your team, create rapport, and build meaningful relationships. Each chapter of this course is coupled with a coaching story that shows you how to apply these concepts to real-world situations.",Course,2021-07-14 10:02 UTC,N/A,false,N/A,
Learning Azure IoT Edge,"Expertise in IoT edge is an increasingly in-demand skill. In this course, Zarina Meeran explains edge computing—what it is, its history, its characteristics, and its benefits and drawbacks— and then illustrates how IoT edge can be used in the cloud and Azure specifically. Zarina runs through the concepts and the components, then shows you how to implement solutions either online or offline within Azure. If you’re interested in building your own Azure IoT Edge solutions to reap benefits like lowering bandwidth, latency, and cost, as well as flexibility when utilizing resources required on demand, join Zarina in this course.",Course,2025-01-05 18:46 UTC,N/A,false,N/A,
Creating Maps with R,"If you need to learn more about creating maps with R, this beginner-friendly course introduces an end-to-end mapping workflow and shows you how to import your data directly from Excel to create both static and interactive maps. Instructor Charlie Joey Hadley explains mapping fundamentals, like geo markers, scatter plots, hexbin maps, cartograms, and more. Charlie walks you through processing GIS data from Excel and working with GIS data formats such as raster, vector, sf, and sp. She demonstrates how to create, label, and transform static maps with ggplot2, then dives into building interactive, mobile-ready maps using Leaflet, an HTML widget package for creating interactive maps with R. Plus, Charlie covers base maps and tiles, projections, the Coordinate Reference System (CRS), and more.",Course,2024-11-25 14:13 UTC,N/A,false,N/A,
FARO SCENE 3D Laser Scan Registration,"FARO SCENE is an important tool for 3D laser scanning that can help you process and manage scan data more efficiently. This course covers a comprehensive workflow for 3D laser scan processing, registration, and quality control (QC) using FARO SCENE software. Instructor Paul Tice covers setting up your project registration, navigating through your point cloud data in FARO SCENE, noise identification and removal, and validating the overall registration of your point cloud data set. He also goes into visualizing point clouds, point cloud exporting options and applications, integration options in FARO SCENE, using third-party data, and more.",Course,2018-11-27 14:18 UTC,N/A,false,N/A,
1 Person Crew Video Productions: Tips and Tricks,"Join Emmy Award-winning filmmaker Eduardo Angel as he shares field-tested tips and tricks for capturing rich stories and stunning visuals as a one-person crew. Eduardo highlights the advantages and disadvantages of working solo, sharing examples gleaned from his own experiences working around the globe. He provides tips for speeding up your editing workflow, getting the right gear, and tightening up your working routine to get the most out of every day. Plus, Eduardo offers suggestions for getting comfortable in front of the camera, finding fascinating subjects, and more",Course,2021-05-27 19:45 UTC,N/A,false,N/A,
C# Practice: Attributes,"Looking to get up to speed with attributes in C#? This course was made for you. Join senior LinkedIn Learning instructor Walt Rischer in this hands-on, interactive, skills-first coding course designed uniquely for intermediate C# developers. Explore .NET attributes skills in C# to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Walt helps you develop your skills as a C# programmer with six specific, query-focused coding challenges. Practice using obsolete attributes, custom attributes, custom properties, custom constructors, attribute restrictions, and reflections.",Course,2024-03-29 09:13 UTC,N/A,false,N/A,
Learning Onshape,"It's time for CAD to be fun again! Onshape is the first full-cloud 3D CAD system. It runs in a web browser and on any iOS or Android device—making it easy to design anywhere, anytime. Your team can consider design alternatives and see what everyone is doing in real time—spending more time designing better products and less time wrestling with document management. Best of all, it's completely free to get started. Explore the full capabilities of Onshape in this course with CAD expert Gabriel Corbett. Gabriel shows how to sketch basic geometry; revolve and extrude 3D parts; trim and extend objects; add fillets, holes, and chamfers; and combine parts into complex assemblies. He shows how to design smarter, not harder, and get up to speed quickly with Onshape's toolset. By the end of the course, you'll know how to produce detailed drawings, ready for manufacturing, complete with dimensions, notes, and revision data.",Course,2019-01-31 20:50 UTC,N/A,true,N/A,
"How to Leverage References, Recommendations, and Referrals to Advance Your Career","References, recommendations, and referrals are more than just flattery—they can change the trajectory of your career. Join Emilie Aries as she breaks down how to leverage these powerful endorsements to go further at work. Learn who to ask, when to ask, and how to ask—and how to follow up on requests without seeming pesky. Plus, discover a simple framework you can use to make sure you’re giving as much as you’re taking from your network of supporters.",Course,2021-12-26 11:23 UTC,N/A,false,N/A,
Lighting for Photographers: Portraiture,"In this course, photographer and teacher Natalie Fobes introduces the techniques behind lighting for portraiture. Its begins with a look at the role of light in setting the mood of a portrait, and then looks at the essential gear photographers need for continuous-light portraiture. The techniques shown are also applicable to strobe lighting. Next, Natalie details a variety of common one-light and two-light lighting techniques, explaining exposure, metering considerations, and light modifiers along the way. The course concludes with several lighting tips, including minimizing physical challenges and do-it-yourself lighting gear instructions.",Course,2021-05-28 19:59 UTC,N/A,false,N/A,
Body Language for Leaders (2019),"Research shows that when your verbal and nonverbal signals are out of alignment, people are forced to choose between what they hear and what they see. And subconsciously, they'll believe your body language. In this course, workplace body-language expert Carol Kinsey Goman, PhD, reveals how body language is perceived and often misread, and shares tips for making a positive first impression within the first few seconds of any interaction. She also discusses the role of body language in cross-cultural communication, delves into the importance of body language for leaders, and shows how you can establish leadership presence. Finally, she provides simple and effective tips on communicating with gestures and stance.",Course,2021-02-18 20:12 UTC,N/A,false,N/A,
Own Your Voice: Improve Presentations and Executive Presence,"The ability to deliver a powerhouse presentation isn't reserved for a gifted few. With enough practice, anyone can learn how to express themselves with confidence. In this course, join communication coach Jackie Miller as she shares practical tips for exuding executive presence and poise when speaking to audiences large and small. Explore different communication styles (and how to embrace your own). Get theater-based techniques for improving eye contact and harnessing the power of breath. Plus, learn best practices for amplifying voices that may otherwise go unheard; ridding your speech of qualifiers, fillers, and apologies; communicating effectively when English isn’t your first language; and more.<br><br>This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-08-07 08:57 UTC,N/A,false,N/A,
Introduction to Graphic Design: Concepts,"Graphic design is a complex art that involves many different skills and understanding many concepts. In this course, Tony Harmer—designer, illustrator, and educator—covers the core concepts that you need to understand and how they relate in a design project. Learn about the four stages of the creative process. Get an introduction to the essential jargon used in typography, as well as type classifications and the basic measurements that you will use when working with type. Explore ways to pick pleasing color combinations, use color as information, and accommodate viewers with color vision deficiency (CVD). Discover the impact you can make with images and illustrations in graphic design projects, including ones created by generative AI tools. Plus, learn best practices for creating a graphic design layout. Finish up with some creativity tips to keep your ideas fresh.",Course,2024-07-28 17:36 UTC,N/A,false,N/A,
The 33 Laws of Typography,"Typography, done right, can enrich any message, making it beautiful and easy to understand. In this course, Jill Butler distills her many years of teaching and design consulting into 33 laws of typography. These laws are the details that designers can overlook or, in some cases, never learned, but that make for stronger compositions. Here these rules are broken down into five categories: documents, large bodies of text, small blocks of text, punctuation, and typefaces. Dive into any section to start learning how to put these principles into action in your own designs.",Course,2017-09-27 12:27 UTC,N/A,false,N/A,
Video Product Lighting Techniques,"The right lighting can powerfully alter the mood and tone of a video. When you're shooting products, knowing how to properly light your subject can help you transform the ordinary into the spectacular. In this course, Greg Pickard zooms in on product video lighting, and takes you behind the scenes on advanced lighting setups for both large and small products. He also explores budget-friendly options, and illustrates how you can pull off those same effects on your own. Review different lighting tools and learn techniques for lighting dull and matte objects, translucent or glass products, and more.",Course,2019-06-17 08:11 UTC,N/A,false,N/A,
GPT-4 Foundations: Building AI-Powered Apps,"Are you looking for a practical, simple, visual introduction to creating an AI-powered application? This course was designed for you. While GPT-4 has piqued much of the world’s attention, few people have developed the skills required to build their own AI-powered tools. Join instructor Denys Linkov to find out more about how to get started building AI-powered applications using GPT-4. In this course, Denys offers a comprehensive overview of the OpenAI playground, including the basics of large language models and prompts. Get tips for beginner, intermediate, and advanced prompting to start creating a no-code chatbot on your own. Along the way, test out your new skills in the challenge exercises provided at the end of each section of the course.",Course,2024-10-17 11:47 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-01-23 19:35 UTC,N/A,false,N/A,
SketchUp 2021 Essential Training,"Build your 3D modeling skills by mastering the basics of SketchUp. In this course, you can get up to speed with this easy-to-use computer modeling application by gaining a foundational understanding of the drawing and design tools offered in the latest version of SketchUp. Instructor Tammy Cody covers navigating the interface, manipulating objects, drawing, organizing drawing elements, and working with materials and textures on both Windows and Mac computers. Learn how to apply simple styles and animation to make your 3D projects more polished and presentable. Throughout the course, Tammy provides opportunities for you to practice what you've learned.",Course,2021-12-17 09:24 UTC,N/A,false,N/A,
How to Handle Poor Performers,"Patience with poor performance too often becomes permission to perform poorly. Effective leaders know they need to address the problem of poor performance in their company and on their team, but the skills needed to do so don’t come naturally to most of us. In this course, former corporate executive Ron Williams shows you a roadmap for tackling the tough conversations and hard decisions that come with responding to poor performers. Ron explains how to identify and respond to poor performance, as well as exactly how to do it. He covers strategies to recognize the difference between performance and potential and to take swifter, firmer action today with team members who are coming up short. 
<br><br>
This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2021-05-12 07:34 UTC,N/A,false,N/A,
Ableton Live 12 Essential Training,"Do you work in audio recording, loop-based songwriting, or synth and sound design? In this course, music professor Rick Schmunk walks you through a variety of ways you can use Ableton Live 12 in your workflows. Rick shows you how to set up your system and use the Ableton Live user interface. He explains how to work with the browser, the Arrangement view, and the Session view. After going over how to use the MIDI Editor, how to record and edit audio, and how to work with arrangements, Rick covers plug-ins, effects racks, the live mixer, and mapping. Then he demonstrates how to make your life easier by automating graphics, editing, and clips, including real-time automation. Rick concludes with some practical advice on managing your files.",Course,2024-11-27 13:17 UTC,N/A,false,N/A,
SketchUp Weekly,"SketchUp Pro, the powerful and popular 3D design software, boasts a robust tool kit that users can leverage to design, document, and share their projects. Whether you're a SketchUp veteran or a brand-new user, this weekly series can help you spend less time fussing with settings and features and more time designing amazing things. Instructor Tammy Cody shares actionable, bite-sized tips for using common SketchUp tools more efficiently, as well as how to generally work smarter with the software. Tune in every Monday for a new tip.<br/><br/>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2023-05-25 20:13 UTC,N/A,false,N/A,
"Diversity, Inclusion, and Belonging","<p>Diversity is having a culture that values uniqueness: people of different backgrounds, cultures, genders, and races. Inclusion means inviting diverse groups to take part in company life. If you're tuned into conversations about HR, you've probably heard these terms before. But there's a third critical piece: belonging. It's belonging that makes each individual feel accepted for who they are. Explore the diversity, inclusion, and belonging (DIB) approach, and discover how to activate it in your organization. Join HR luminary Pat Wadors as she explains how to drive the conversation on DIBs, hire and retain diverse talent, listen to employees, and integrate DIBs into your employee lifecycle. Managers and executives should tune in for special tips on embedding DIBs in the employee experience.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2021-02-20 12:09 UTC,N/A,false,N/A,
Sleep Is Your Superpower,"Sleep is mandatory. You can’t outsource it and you can’t negotiate it—and it has a powerful impact on everything you do while you’re awake. So why not build habits to optimize your sleep and live your best life? Learn how to make sleep a priority and take steps to achieve sleep wellness. The Sleep Ambassador®, Nancy Rothstein, shares tips for optimizing sleep and performing at your best in work and life. Learn how to prioritize sleep, assess your sleep, create the right sleep environment, and adopt strategies to fall asleep and stay asleep. Nancy offers concrete, practical advice based on research and science—so you can master sleep as your superpower.",Course,2021-09-20 19:23 UTC,N/A,false,N/A,
Creating Your Personal Brand,"Your personal brand is your reputation and legacy. A strong personal brand can lead to job and career opportunities. A weak personal brand leaves you liable to be passed by. In this course, personal branding expert Lida Citroën helps you identify what your personal brand is now and align it with the brand you want for yourself in the future. In the process, she helps you target the individuals or groups who have the opportunities you seek, strategize the marketing for your brand, and identify who you need to know and where to find them. She also helps you figure out how to portray your personal brand on social media outlets such as LinkedIn, Facebook, and YouTube. Plus, learn how to craft an elevator pitch for your personal brand so you can make a good impression even on short notice.",Course,N/A,N/A,true,N/A,
How Infrastructure Works: The Systems Shaping Our World,"<p>Despite it being all around us, we rarely think about infrastructure—things like water and sewage, electricity, transportation, and telecommunications—until something breaks down. In this audiobook summary, Deb Chachra—a professor of engineering at Olin College—explains why we should pay more attention to the technological networks that surround us. Deb shares some key ideas from her book <i>How Infrastructure Works: Inside the Systems That Shape Our World</i>, and discusses the importance of seeing and understanding what are possibly the most complicated systems created by humanity.  
</p><p>
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2024-05-15 15:11 UTC,N/A,false,N/A,
Learning Notion,"From basic daily task management to larger team collaboration, Notion can help you save time and keep your work fully organized. With Notion, you can manage lots of different pieces of information, from basic lists and journals to wikis and complex project management systems. In this course, LinkedIn Learning staff instructor Nick Brazzi offers an overview on how to get started with Notion and leverage its powerful, new AI-assisted features. Nick begins by showing how to set up Notion for the first time, including how to make pages and workspaces, navigate the editing and management tools, and customize and add content from other services and tools. Nick shows you how to manage pages, work with different page views, embed content and dates in a page, and configure team workflows and schedules. Along the way, find out how to use new AI-powered features to help with editing, collaboration, content generation, translation, summarization, and more.",Course,2024-02-21 10:08 UTC,N/A,false,N/A,
Speaking Confidently and Effectively,"The ability to present yourself and communicate well is crucial in any work environment. In this course, adapted from the podcast <i>How to Be Awesome at Your Job</i>, learn how to build on your presentation skills to gain a competitive advantage in your career. Professional speaker Diane DiResta shares tips and tricks for leveling up your presentations and boosting your executive presence. Learn how to craft your presentations around what’s important to the audience to ensure that you're only sharing the most impactful information. Discover how to shift your focus away from yourself to conquer your fear of speaking. Plus, get strategies for ensuring that your body, tone, and words are giving off one consistent message; planning for your worst-case scenario and establishing recovery strategies; handling tough questions; and more.<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2021-01-18 13:54 UTC,N/A,false,N/A,
